,Name,Party
0,ABBAS BIN ABU AMIN,People's Action Party
1,ABDUL AZIZ BIN KARIM,People's Action Party
2,ABDUL HAMID BIN JUMAT,United Malays National Organisation
3,ABDUL HAMID BIN RAHMAT,Progressive Party
4,ABDUL KARIM BIN ABDUL SATTAR,Pertubuhan Kebangsaan Melayu Singapura
5,ABDUL LATIFF BIN IBRAHIM,Partai Rakyat
6,ABDUL MALIK BIN ALI,National Solidarity Party
7,ABDUL NASSER BIN KAMARUDDIN,People's Action Party
8,ABDUL RAHIM BIN ABDUL RAHMAN,Workers' Party
9,ABDUL RAHIM BIN ISHAK,People's Action Party
10,ABDUL RAHIM BIN OSMAN,Singapore Democratic Alliance
11,ABDUL RAHMAN BIN MOHAMAD,Singapore Democratic Alliance
12,ABDUL RAHMAN BIN MOHAMED SAID,Singapore Alliance
13,ABDUL RAHMAN BIN MOHAMED ZIN,Pertubuhan Kebangsaan Melayu Singapura
14,ABDUL RASHEED Y. ABDUL KUTHUS,National Solidarity Party
15,ABDUL SALIM BIN HARUN,National Solidarity Party
16,ABDUL BIN SAMAT,Progressive Party
17,ABDULLAH BIN MASOOD,United People's Party
18,ABDULLAH BIN TARMUGI,People's Action Party
19,ABDULLAH  VALIYA PURAYIL,Labour Party
20,ABU BIN MOHAMED,Singapore Democratic Alliance
21,AHMAD JABRI BIN MOHAMMAD AKIB,Singapore Alliance
22,AHMAD KHALIS BIN ABDUL GHANI,People's Action Party
23,AHMAD BIN HAJI TAFF,Pertubuhan Kebangsaan Melayu Singapura
24,AHMAD BIN IBRAHIM,People's Action Party
25,AHMAD BIN ISMAIL,Labour Front
26,AHMAD BIN MOHAMED IBRAHIM,Independent
27,AHMAD BIN MOHAMED MAGAD,People's Action Party
28,AHMAD BIN MOHAMED MATTAR,People's Action Party
29,AHMAD BIN MOHAMED YATIM,Labour Front
30,AHMAD BIN RAHMAT,Singapore Alliance
31,AHMAN BIN HAJI SUBRI,Malay Union
32,AL-JUNIED  SYED HASSAN,Progressive Party
33,ALEXANDER  T. T. K.,Malayan Indian Congress
34,ALHABSHI  SYED HARON A.,United Malays National Organisation
35,ALMENOAR  SYED ESA,Singapore Alliance
36,AMINUDDIN BIN AMI,"Justice Party, Singapore"
37,AMIR ALI BIN MOHAMED,United National Front
38,AMNAH BINTE KUONG HUSSEIN,Pertubuhan Kebangsaan Melayu Singapura
39,AMRIN BIN AMIN,People's Action Party
40,ANANG BIN HAJI A. MANAN,Singapore Alliance
41,ANG BEE LIAN,United People's Front
42,ANG HIN KEE,People's Action Party
43,ANG KHENG KWAN,United National Front
44,ANG KHYE CHIA,Liberal Socialist Party
45,ANG KOK PENG,People's Action Party
46,ANG MENG GEE,Workers' Party
47,ANG MONG SENG,People's Action Party
48,ANG NAM PIAU,People's Action Party
49,ANG WEI NENG,People's Action Party
50,ANG YONG GUAN,Singaporeans First
51,APPAVOO  KUMAR,Reform Party
52,APPAVOO  PAKRI,Singapore Alliance
53,ARIFFIN BIN MOHD SAID,Independent
