,from,to,docID,doctopic
0,PROC,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
1,Mr Deputy Speaker,Mr Png Eng Huat (Hougang),5d27eca6172d9aa762d4802f,Society
2,Mr Png Eng Huat (Hougang),Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
3,Mr Deputy Speaker,The Minister for Communications and Information (Mr S Iswaran),5d27eca6172d9aa762d4802f,Society
4,The Minister for Communications and Information (Mr S Iswaran),Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
5,Mr Deputy Speaker,Dr Chia Shi-Lu (Tanjong Pagar),5d27eca6172d9aa762d4802f,Society
6,Dr Chia Shi-Lu (Tanjong Pagar),Mr Darryl David (Ang Mo Kio),5d27eca6172d9aa762d4802f,Society
7,Mr Darryl David (Ang Mo Kio),Mr Louis Ng Kok Kwang (Nee Soon),5d27eca6172d9aa762d4802f,Society
8,Mr Louis Ng Kok Kwang (Nee Soon),Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
9,Mr Deputy Speaker,The Minister for Law (Mr K Shanmugam),5d27eca6172d9aa762d4802f,Society
10,The Minister for Law (Mr K Shanmugam),PROC,5d27eca6172d9aa762d4802f,Society
11,PROC,PROC,5d27eca6172d9aa762d4802f,Society
12,PROC,The Senior Minister and Coordinating Minister for National Security (Mr Teo Chee Hean),5d27eca6172d9aa762d4802f,Society
13,The Senior Minister and Coordinating Minister for National Security (Mr Teo Chee Hean),Mr K Shanmugam,5d27eca6172d9aa762d4802f,Society
14,Mr K Shanmugam,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
15,Mr Deputy Speaker,Mr K Shanmugam,5d27eca6172d9aa762d4802f,Society
16,Mr K Shanmugam,An hon Member,5d27eca6172d9aa762d4802f,Society
17,An hon Member,Mr K Shanmugam,5d27eca6172d9aa762d4802f,Society
18,Mr K Shanmugam,An hon Member,5d27eca6172d9aa762d4802f,Society
19,An hon Member,Mr K Shanmugam,5d27eca6172d9aa762d4802f,Society
20,Mr K Shanmugam,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
21,Mr Deputy Speaker,Mr Pritam Singh,5d27eca6172d9aa762d4802f,Society
22,Mr Pritam Singh,Mr K Shanmugam,5d27eca6172d9aa762d4802f,Society
23,Mr K Shanmugam,Mr Pritam Singh,5d27eca6172d9aa762d4802f,Society
24,Mr Pritam Singh,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
25,Mr Deputy Speaker,Mr Pritam Singh,5d27eca6172d9aa762d4802f,Society
26,Mr Pritam Singh,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
27,Mr Deputy Speaker,Mr Pritam Singh,5d27eca6172d9aa762d4802f,Society
28,Mr Pritam Singh,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
29,Mr Deputy Speaker,Mr K Shanmugam,5d27eca6172d9aa762d4802f,Society
30,Mr K Shanmugam,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
31,Mr Deputy Speaker,Mr Low Thia Khiang,5d27eca6172d9aa762d4802f,Society
32,Mr Low Thia Khiang,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
33,Mr Deputy Speaker,Mr K Shanmugam,5d27eca6172d9aa762d4802f,Society
34,Mr K Shanmugam,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
35,Mr Deputy Speaker,Assoc Prof Walter Theseira,5d27eca6172d9aa762d4802f,Society
36,Assoc Prof Walter Theseira,Mr K Shanmugam,5d27eca6172d9aa762d4802f,Society
37,Mr K Shanmugam,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
38,Mr Deputy Speaker,Ms Sylvia Lim,5d27eca6172d9aa762d4802f,Society
39,Ms Sylvia Lim,Mr K Shanmugam,5d27eca6172d9aa762d4802f,Society
40,Mr K Shanmugam,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
41,Mr Deputy Speaker,Mr Leon Perera,5d27eca6172d9aa762d4802f,Society
42,Mr Leon Perera,Mr K Shanmugam,5d27eca6172d9aa762d4802f,Society
43,Mr K Shanmugam,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
44,Mr Deputy Speaker,Mr Png Eng Huat,5d27eca6172d9aa762d4802f,Society
45,Mr Png Eng Huat,Mr K Shanmugam,5d27eca6172d9aa762d4802f,Society
46,Mr K Shanmugam,Mr Png Eng Huat,5d27eca6172d9aa762d4802f,Society
47,Mr Png Eng Huat,Mr K Shanmugam,5d27eca6172d9aa762d4802f,Society
48,Mr K Shanmugam,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
49,Mr Deputy Speaker,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
50,Mr Deputy Speaker,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
51,Mr Deputy Speaker,Mr Pritam Singh,5d27eca6172d9aa762d4802f,Society
52,Mr Pritam Singh,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
53,Mr Deputy Speaker,Mr Pritam Singh,5d27eca6172d9aa762d4802f,Society
54,Mr Pritam Singh,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
55,Mr Deputy Speaker,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
56,Mr Deputy Speaker,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
57,Mr Deputy Speaker,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
58,Mr Deputy Speaker,Mr Pritam Singh,5d27eca6172d9aa762d4802f,Society
59,Mr Pritam Singh,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
60,Mr Deputy Speaker,Mr Deputy Speaker,5d27eca6172d9aa762d4802f,Society
61,Mr Deputy Speaker,PROC,5d27eca6172d9aa762d4802f,Society
62,PROC,The Chairman,5d27eca6172d9aa762d4802f,Society
63,The Chairman,Ms Anthea Ong (Nominated Member),5d27eca6172d9aa762d4802f,Society
64,Ms Anthea Ong (Nominated Member),The Chairman,5d27eca6172d9aa762d4802f,Society
65,The Chairman,Ms Anthea Ong,5d27eca6172d9aa762d4802f,Society
66,Ms Anthea Ong,Mr Pritam Singh,5d27eca6172d9aa762d4802f,Society
67,Mr Pritam Singh,The Chairman,5d27eca6172d9aa762d4802f,Society
68,The Chairman,Mr Pritam Singh,5d27eca6172d9aa762d4802f,Society
69,Mr Pritam Singh,Assoc Prof Walter Theseira,5d27eca6172d9aa762d4802f,Society
70,Assoc Prof Walter Theseira,Ms Anthea Ong,5d27eca6172d9aa762d4802f,Society
71,Ms Anthea Ong,The Chairman,5d27eca6172d9aa762d4802f,Society
72,The Chairman,The Chairman,5d27eca6172d9aa762d4802f,Society
73,The Chairman,Ms Anthea Ong,5d27eca6172d9aa762d4802f,Society
74,Ms Anthea Ong,The Chairman,5d27eca6172d9aa762d4802f,Society
75,The Chairman,Ms Anthea Ong,5d27eca6172d9aa762d4802f,Society
76,Ms Anthea Ong,Assoc Prof Walter Theseira,5d27eca6172d9aa762d4802f,Society
77,Assoc Prof Walter Theseira,The Chairman,5d27eca6172d9aa762d4802f,Society
